Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
37	-42457.125	33869.273	13838.623	-113325.1	800.0	-375.79913	0.00030692402	-375.79614	-375.79947	304000	-7.539987e-09	89368020.0	-0.02658288	-48280.0	3.0085495	0.015944943	0.178	24.0	392.97136425971985
38	-69007.83	53209.574	50627.082	-169508.69	800.0	-381.0098	0.00030545107	-381.00745	-381.0101	312000	1.1920929e-08	195630830.0	-0.04575923	-123152.0	2.934254	0.011596731	0.24975	79.0	403.39401483535767
39	-67528.9	49908.434	5038.0073	-165510.08	800.0	-388.95093	0.00031966035	-388.94775	-388.95123	320000	1.5377998e-08	169529970.0	-0.04320254	-121376.0	2.898513	0.013650285	0.234125	79.0	413.3450312614441
40	-58073.35	37549.465	-9035.213	-133710.22	800.0	-397.09613	0.000251479	-397.09406	-397.0964	328000	6.437302e-09	145040370.0	-0.0389468	-97536.0	2.906066	0.014457302	0.212125	61.0	423.2816240787506
41	-60226.793	41910.812	-5844.404	-155174.27	800.0	-404.5054	0.0003245577	-404.5031	-404.50577	336000	-2.1517277e-08	129692264.0	-0.04759417	-90464.0	2.9022892	0.014278363	0.23875	79.0	433.4692847728729
42	-77179.92	87302.99	5498.9404	-284782.72	800.0	-411.68344	0.00025566554	-411.68124	-411.6837	344000	-8.9854e-09	288881120.0	-0.005707952	-175680.0	2.9161112	0.0062336726	0.0575	2.0	441.2957384586334
43	-57616.008	26092.686	-22116.527	-89957.67	800.0	-421.5505	0.00022028138	-421.54886	-421.55072	352000	1.0579825e-09	102216320.0	-0.034109835	-98096.0	2.9210775	0.014634716	0.178125	36.0	450.0577018260956
44	-84221.3	45204.05	-3525.5815	-143043.16	800.0	-429.2493	0.00023203396	-429.24753	-429.24954	360000	-4.1201712e-08	206992590.0	-0.03751532	-188304.0	2.87437	0.014957905	0.20275	46.0	459.1271605491638
45	-46731.855	32526.04	7107.0415	-99087.75	800.0	-439.5547	0.00022570143	-439.55286	-439.55496	368000	-3.7655234e-08	87878470.0	-0.036283504	-69016.0	2.9287817	0.015161143	0.186	37.0	468.17266631126404
46	-57915.812	39767.832	-9441.029	-134721.27	800.0	-446.20612	0.00024600534	-446.20224	-446.20645	376000	-1.6748904e-08	108314150.0	-0.04211489	-98808.0	2.8658867	0.015462044	0.2195	57.0	477.6666810512543
47	-98765.49	82150.09	-5476.5054	-296017.56	800.0	-453.8452	0.00018042543	-453.84314	-453.84546	384000	2.6792287e-08	321523740.0	-0.041909657	-286336.0	2.889837	0.0057443273	0.217	79.0	488.0756924152374
48	-60049.637	53808.773	21426.102	-159932.9	800.0	-466.63812	0.00013563811	-466.6373	-466.63824	392000	-3.424287e-08	138279440.0	-0.045483656	-115216.0	2.854414	0.011989539	0.235375	79.0	498.23084235191345
49	-44578.79	39286.61	3346.6628	-149828.77	800.0	-475.23676	0.00017182576	-475.23563	-475.23694	400000	-4.991144e-08	94069790.0	-0.035307027	-56456.0	2.784088	0.015298641	0.213	50.0	507.45550179481506
50	-75588.516	41202.684	-15673.923	-138884.86	800.0	-481.246	0.00020934925	-481.24365	-481.24625	408000	-3.235787e-08	186305660.0	-0.044132095	-160288.0	2.7573638	0.010621665	0.242375	79.0	517.9092147350311
51	-45842.305	26706.07	-2949.511	-96059.35	800.0	-490.96512	0.0001434383	-490.96384	-490.96533	416000	2.1144748e-08	90542210.0	-0.036951948	-71888.0	2.7462213	0.014938059	0.20225	40.0	526.8281683921814
52	-53737.918	55841.72	31574.139	-150358.45	800.0	-497.89795	0.00012487713	-497.89685	-497.8981	424000	2.30968e-10	157373540.0	-0.040948097	-86176.0	2.7444863	0.01011069	0.232625	79.0	536.8374547958374
53	-59838.375	33477.086	-15913.736	-125867.88	800.0	-505.28506	0.00016366216	-505.28372	-505.28525	432000	6.2286856e-09	130983410.0	-0.040880337	-106216.0	2.7039864	0.014829488	0.2295	59.0	546.4010300636292
54	-49793.406	48423.754	20440.885	-125917.53	800.0	-513.56494	0.00014403359	-513.56354	-513.5651	440000	-1.1473894e-08	116350570.0	-0.043538343	-81328.0	2.7156754	0.014946033	0.235125	57.0	555.7446875572205
55	-81806.89	44570.246	-30182.105	-160926.72	800.0	-520.97955	0.000213179	-520.9778	-520.9798	448000	-3.0487776e-08	203836880.0	-0.017520964	-217696.0	2.7571585	0.012625229	0.1505	10.0	563.5853984355927
56	-54913.977	31259.965	-4631.0103	-110678.06	800.0	-532.72125	0.0001154315	-532.72003	-532.72144	456000	2.5294721e-08	124990290.0	-0.046130333	-103984.0	2.7062962	0.011663431	0.241125	79.0	573.7666535377502
57	-98525.086	64572.516	-21237.07	-238467.3	800.0	-541.27136	0.0001317939	-541.27014	-541.2715	464000	-5.2459537e-08	299338100.0	-0.005816323	-320064.0	2.6943223	0.007560092	0.063375	2.0	581.4307870864868
58	-60078.3	36115.297	5223.983	-104145.52	800.0	-555.3465	0.00013449044	-555.3452	-555.34656	472000	1.3113022e-09	122739690.0	-0.04754432	-119456.0	2.700351	0.013670998	0.23825	79.0	591.7464706897736
59	-48820.406	49838.715	9502.805	-168975.73	800.0	-564.4763	0.000116551586	-564.4752	-564.47644	480000	1.6450882e-08	141644500.0	-0.04824672	-80432.0	2.68411	0.013767486	0.2555	79.0	602.0859889984131
60	-41831.227	39375.04	7768.9355	-125029.81	800.0	-571.8179	8.190431e-05	-571.8173	-571.81793	488000	-4.8339366e-08	97048770.0	-0.03790858	-54328.0	2.6833007	0.015526852	0.21925	45.0	611.2758204936981
61	-38582.85	40446.125	11118.056	-126370.984	800.0	-577.93787	8.433018e-05	-577.937	-577.9379	496000	-6.2584876e-10	97761080.0	-0.043954756	-45808.0	2.672846	0.014338568	0.253875	79.0	621.3237087726593
62	-62164.98	28558.727	-22796.074	-125131.055	800.0	-583.5914	0.0001867167	-583.5899	-583.5916	504000	-2.077222e-08	115278776.0	-0.04778653	-120344.0	2.630502	0.011270891	0.245875	79.0	631.2294030189514
63	-62719.883	63021.47	25608.15	-207562.8	800.0	-592.58295	0.00011881689	-592.5817	-592.58307	512000	-3.2559036e-08	201110160.0	-0.044055562	-136640.0	2.5915835	0.009308338	0.23275	79.0	641.3976249694824
64	-67041.67	39402.82	-2402.745	-124921.89	800.0	-602.38464	0.000101809404	-602.3836	-602.3847	520000	-4.738569e-09	189196030.0	-0.026895877	-146816.0	2.56802	0.014113093	0.199875	16.0	649.5225658416748
