Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
41	-170732.62	77930.98	-42481.258	-302283.06	800.0	-412.93182	0.0002980077	-412.9282	-412.9322	336000	6.455183e-08	756859140.0	-0.043671764	-392448.0	3.5121934	0.011258815	0.225875	79.0	360.9032199382782
42	-104837.34	72855.375	-18499.965	-268972.88	800.0	-423.00128	0.0004078469	-422.99496	-423.0017	344000	-1.3880432e-08	397435400.0	-0.038647536	-175168.0	3.5527244	0.009981052	0.232125	79.0	369.74225330352783
43	-116371.35	44486.516	-49662.85	-203648.56	800.0	-430.13657	0.00021063264	-430.13376	-430.13687	352000	1.1108816e-08	318313340.0	-0.02731757	-198400.0	3.514902	0.015074717	0.17325	22.0	377.16497254371643
44	-147924.58	80188.14	-58906.98	-283868.38	800.0	-437.53568	0.00026443994	-437.52805	-437.53598	360000	1.1354685e-08	585346000.0	-0.0448431	-319616.0	3.481455	0.013163475	0.225875	79.0	386.2201957702637
45	-94930.016	83775.234	-10804.557	-331867.4	800.0	-446.9202	0.00042748227	-446.90753	-446.9205	368000	7.659197e-09	289095420.0	-0.045020804	-139424.0	3.5601768	0.011580441	0.22675	79.0	395.09090399742126
46	-152690.06	38167.58	-102528.984	-214462.78	800.0	-453.454	0.000205923	-453.45154	-453.4543	376000	8.34614e-08	561408960.0	-0.046884738	-355520.0	3.5121627	0.01419043	0.243125	79.0	404.3074560165405
47	-116953.05	64248.61	-17017.031	-205544.72	800.0	-463.38757	0.00038470747	-463.38187	-463.38794	384000	1.0371208e-08	397717250.0	-0.040209085	-221920.0	3.5419967	0.010785219	0.23125	79.0	413.1789073944092
48	-133774.52	69485.37	-11521.172	-246994.86	800.0	-471.59613	0.00027463256	-471.5924	-471.5964	392000	5.2139164e-08	499733400.0	-0.027939096	-278016.0	3.5252798	0.015219441	0.177875	20.0	420.76457619667053
49	-92979.8	47702.996	-37208.434	-193071.61	800.0	-480.6162	0.00020332329	-480.6137	-480.61652	400000	1.7650425e-08	282440030.0	-0.023237962	-143328.0	3.5078003	0.015024714	0.1755	21.0	428.098228931427
50	-106407.11	44773.277	-27112.027	-157067.86	800.0	-487.35526	0.0004323394	-487.34454	-487.35553	408000	2.6077032e-08	309638100.0	-0.045361843	-184576.0	3.4841475	0.013146175	0.225125	79.0	437.20855951309204
